date_created,company_name,company_number,status,cohort,postcode,company_type,sic_codes,registered_office
1985-04-12,CAFE RENO LIMITED,NI018360,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,74990,"{'address_line_1': 'C/O Flannigan Edmonds & Bannon', 'address_line_2': 'Pearl Assurance House', 'locality': '2 Donegall Square East', 'postal_code': 'BT1 5HH', 'region': 'Belfast'}"
1985-04-12,PHILPOTT HOMES LIMITED,NI018358,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,41202,"{'address_line_1': '1a Nevins Row', 'address_line_2': 'Ballyskeagh Road', 'locality': 'Lisburn', 'postal_code': 'BT27 5TF', 'country': 'Northern Ireland'}"
1985-02-07,ROCKSBORO INVESTMENTS LIMITED,NI018187,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': 'Newpark', 'address_line_2': '65 Greystone Road', 'locality': 'Antrim', 'postal_code': 'BT41 2QN', 'region': 'Co Antrim'}"
1985-02-07,ROCKSBORO INVESTMENTS LIMITED,NI018187,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': 'Newpark', 'address_line_2': '65 Greystone Road', 'locality': 'Antrim', 'postal_code': 'BT41 2QN', 'region': 'Co Antrim'}"
1984-12-14,DORSET ENTERPRISES LIMITED,NI018041,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,90040,"{'address_line_1': '15 Rockfield', 'address_line_2': 'Madamsbank Road', 'locality': 'Derry', 'postal_code': 'BT48 8AU'}"
1984-12-14,DORSET ENTERPRISES LIMITED,NI018041,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,90040,"{'address_line_1': '15 Rockfield', 'address_line_2': 'Madamsbank Road', 'locality': 'Derry', 'postal_code': 'BT48 8AU'}"
1984-12-05,CORDINER'S WINDOWS LIMITED,NI018012,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,,"{'address_line_1': 'C/O Kpmg  Stokes House', 'address_line_2': 'College Square East', 'locality': 'Belfast', 'postal_code': 'BT1 6DH'}"
1984-12-05,CORDINER'S WINDOWS LIMITED,NI018012,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,,"{'address_line_1': 'C/O Kpmg  Stokes House', 'address_line_2': 'College Square East', 'locality': 'Belfast', 'postal_code': 'BT1 6DH'}"
1984-11-20,WOODTOX LIMITED,NI017982,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': 'Hill Vellacott', 'address_line_2': 'Chamber Of Commerce House', 'locality': '22 Great Victoria Street', 'postal_code': 'BT2 7BA', 'region': 'Belfast'}"
1984-11-20,WOODTOX LIMITED,NI017982,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': 'Hill Vellacott', 'address_line_2': 'Chamber Of Commerce House', 'locality': '22 Great Victoria Street', 'postal_code': 'BT2 7BA', 'region': 'Belfast'}"
1984-10-24,BUILDINGS AND TANKS LIMITED,NI017900,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,25290,"{'address_line_1': '43 Kerr Street', 'address_line_2': 'Portrush', 'locality': 'Co. Antrim', 'postal_code': 'BT56 8DQ'}"
